Coefficients order=180 center=CT2077:180
Observation time
          B0 angle & Nmax:        0          180





Max Harmonic Order:180              Units: Gauss
 
  l   m      g(uT)      h(uT)
   69   21          0.586         -1.104
   69   22         -0.187          1.037
   69   23          0.444         -0.186
   69   24          0.066          0.811
   69   25          0.021          0.437
   69   26          0.331         -0.469
   69   27         -0.356          0.774
   69   28         -0.443          0.162
   69   29          0.425          0.288
   69   30         -0.020          0.070
   69   31         -0.060          0.313
   69   32         -0.068          0.052
   69   33          0.056         -0.199
   69   34         -0.308         -0.894
   69   35          0.274          0.633
   69   36         -0.174         -0.533
   69   37          0.793         -0.026
   69   38         -0.008         -0.709
   69   39          0.323          0.214
   69   40          0.312         -0.415
   69   41         -0.413          0.877
   69   42         -0.657          0.202
   69   43          0.088          0.747
   69   44          0.073          0.068
   69   45          0.323          0.423
   69   46          0.061         -0.439
   69   47          0.153         -1.080
   69   48          0.036          0.008
   69   49          0.055          0.449
   69   50          0.529         -0.278
   69   51         -0.066         -0.299
   69   52          0.606         -0.117
   69   53         -0.486          0.248
   69   54          0.162         -0.436
   69   55         -0.260          0.098
   69   56          0.227         -0.050
   69   57         -0.377          0.624
   69   58          0.060         -0.534
   69   59         -0.590         -0.156
   69   60          0.012          0.291
   69   61          0.217         -0.304
   69   62          0.597         -0.256
   69   63          0.503          0.132
   69   64         -0.330         -0.546
   69   65         -0.352          0.031
   69   66         -0.092          0.230
   69   67          0.165          0.578
   69   68          0.237          0.475
   69   69         -0.511         -0.090
   70    0          0.612          0.000
   70    1         -0.696         -0.591
   70    2         -0.098          0.615
   70    3         -0.771          0.327
   70    4          0.016         -0.148
   70    5          0.284         -0.085
   70    6          0.150         -0.196
   70    7         -0.192         -0.580
   70    8          0.238         -1.129
   70    9          0.804         -0.610
   70   10          0.946          0.647
   70   11          0.746         -0.584
   70   12         -0.185         -1.046
   70   13         -1.142          0.817
   70   14          0.163          0.086
   70   15          0.745          0.500
   70   16         -0.422          0.394
   70   17          0.382         -0.494
   70   18          0.704          0.375
   70   19          0.284         -0.453
   70   20          0.025         -0.376
   70   21         -0.718         -0.492
   70   22         -0.356         -0.030
   70   23         -0.426         -0.485
   70   24         -0.858          0.013
   70   25          1.169          0.064
   70   26          0.174          0.022
   70   27          0.813         -0.322
   70   28          0.046          0.093
   70   29         -0.148          0.186
   70   30          0.362         -0.569
   70   31         -0.533          0.197
   70   32         -0.021         -0.963
   70   33         -0.224         -0.508
   70   34         -0.013         -0.150
   70   35         -0.370         -0.578
   70   36         -0.183         -0.721
   70   37         -0.235         -0.203
   70   38         -0.065          0.301
   70   39          0.384         -0.277
   70   40          0.455         -0.398
   70   41          0.177          0.607
   70   42         -0.688          0.055
   70   43          0.271         -0.947
   70   44          0.453          0.027
   70   45          0.345          0.099
   70   46         -0.143          0.263
   70   47          0.070         -0.191
   70   48         -0.156          0.184
   70   49         -0.466          0.189
   70   50          0.197          0.287
   70   51         -0.706          0.304
   70   52         -0.308          0.336
   70   53          0.328         -0.012
   70   54         -0.569         -0.014
   70   55          0.011         -0.364
   70   56          0.061         -0.168
   70   57         -0.158          0.699
   70   58          0.324          0.326
   70   59          0.253          0.002
   70   60         -0.346         -0.195
   70   61         -0.134         -0.175
   70   62         -0.309         -0.709
   70   63          0.173         -0.250
   70   64         -0.368          0.542
   70   65          0.223         -0.032
   70   66         -0.542          0.179
   70   67         -0.317          0.372
   70   68          0.437         -0.059
   70   69         -0.389          0.257
   70   70         -0.231         -0.084
   71    0          0.146          0.000
   71    1         -0.007          0.127
   71    2         -0.083         -0.594
   71    3         -0.331         -0.838
   71    4          1.030          0.369
   71    5         -0.172         -0.213
   71    6          0.604         -0.922
   71    7          0.079         -1.452
   71    8         -0.076         -1.285
   71    9         -0.312         -0.476
   71   10         -0.445         -0.108
   71   11          0.469          0.179
   71   12          0.276         -0.019
   71   13          0.524         -0.277
   71   14          0.062          0.365
   71   15         -0.241          0.722
   71   16          0.002          0.447
   71   17          0.728          0.594
   71   18         -0.107          0.619
   71   19         -0.209          0.884
   71   20         -0.618          0.765
   71   21          0.415         -0.305
   71   22          0.337          0.524
   71   23         -0.242         -0.331
   71   24          0.133          0.731
   71   25          0.148          0.803
   71   26          0.218         -0.024
   71   27          0.308          0.488
   71   28         -0.761          0.136
   71   29          0.083         -0.391
   71   30         -0.496          0.178
   71   31         -0.638          0.245
   71   32         -0.100          0.111
   71   33          0.296         -0.174
   71   34         -0.187         -0.144
   71   35          0.385          0.374
   71   36         -0.591          0.273
   71   37          0.476         -0.078
   71   38          0.309          0.105
   71   39         -0.147          0.264
   71   40          0.240         -0.375
   71   41          0.368         -0.742
   71   42          0.459         -0.567
   71   43          0.203          0.478
   71   44          0.238         -0.012
   71   45         -0.733         -0.622
   71   46          0.353         -0.092
   71   47         -0.100          0.334
   71   48         -0.245          0.385
   71   49         -0.524         -0.346
   71   50          0.134         -0.127
   71   51         -1.055          0.232
   71   52         -0.249         -0.059
   71   53          0.707          0.282
   71   54          0.113          0.644
   71   55         -0.082          0.167
   71   56         -0.006          0.285
   71   57         -0.438          0.434
   71   58         -0.361         -0.455
   71   59         -0.383          0.189
   71   60         -0.191         -0.046
   71   61         -0.051          0.761
   71   62          0.091          0.003
   71   63         -0.124         -0.269
   71   64          0.243          0.310
   71   65          0.157         -0.040
   71   66         -0.075          0.346
   71   67         -0.235         -0.278
   71   68         -0.247         -0.274
   71   69         -0.466         -0.117
   71   70          0.627         -0.220
   71   71         -0.271          0.159
   72    0         -0.241          0.000
   72    1         -0.394         -0.307
   72    2          0.427          0.322
   72    3         -0.304         -0.419
   72    4          0.422          0.430
   72    5          0.341         -0.612
   72    6         -0.189          0.387
   72    7         -0.433         -1.748
   72    8          0.508         -0.418
   72    9          0.393          0.369
   72   10         -0.099          1.123
   72   11          0.913          0.089
   72   12         -0.371          0.425
   72   13         -0.453          1.025
   72   14         -0.034          0.248
   72   15          1.413          0.296
   72   16         -0.543          0.240
   72   17         -0.561          0.132
   72   18          0.905          0.318
   72   19          0.102          0.079
   72   20         -0.539         -0.372
   72   21         -0.104          0.793
   72   22         -0.683          0.131
   72   23         -0.430         -0.390
   72   24          0.082          0.607
   72   25         -0.025         -0.231
   72   26         -1.032          0.476
   72   27          0.315         -0.662
   72   28         -0.472          0.361
   72   29         -0.709         -0.150
   72   30         -0.220         -0.156
   72   31          0.257         -0.190
   72   32         -0.234         -0.033
   72   33          0.504          0.546
   72   34          0.876          0.161
   72   35         -0.850         -0.310
   72   36          0.834          0.365
   72   37          0.147          0.009
   72   38          0.285         -0.525
   72   39         -0.513          0.483
   72   40         -0.925          0.242
   72   41         -1.194          0.413
   72   42          0.640         -0.210
   72   43         -0.334          0.370
   72   44          0.532         -1.228
   72   45         -0.375          0.013
   72   46          0.164          0.349
   72   47         -0.378          0.179
   72   48         -0.463         -0.262
   72   49         -0.382          0.489
   72   50         -1.149         -0.258
   72   51          0.038         -0.073
   72   52         -0.087          0.185
   72   53          0.238          0.530
   72   54         -0.301         -0.621
   72   55          0.101         -0.193
   72   56          0.219         -0.223
   72   57         -0.888          0.648
   72   58         -0.440         -0.881
   72   59          0.798         -0.789
   72   60         -0.325          0.360
   72   61         -0.151         -0.856
   72   62         -0.708         -0.541
   72   63         -0.079         -0.298
   72   64         -0.387          0.237
   72   65          0.176          0.451
   72   66         -0.747          0.508
   72   67          0.363          0.070
   72   68         -0.156          0.654
   72   69         -0.106         -0.032
   72   70          0.079         -0.406
   72   71          0.169          0.015
   72   72         -0.361         -0.489
   73    0          0.145          0.000
   73    1         -0.134          0.029
   73    2         -0.223         -0.685
   73    3          0.031          0.070
   73    4          0.478          0.236
   73    5         -0.061         -0.323
   73    6          0.621         -0.569
   73    7         -0.820         -0.812
   73    8          0.141         -0.670
   73    9         -0.418         -0.554
   73   10         -0.472         -0.571
   73   11          0.490          0.472
   73   12         -0.078          0.016
   73   13         -0.015          0.139
   73   14          0.217          0.643
   73   15         -0.269          0.133
   73   16          0.823          0.179
   73   17         -0.803         -0.363
   73   18          0.130         -0.463
   73   19         -0.404          0.149
   73   20         -0.636         -0.313
   73   21          0.316         -0.055
   73   22         -0.260          0.411
   73   23          0.669          0.153
   73   24          0.185         -0.203
   73   25         -1.098          0.957
   73   26         -0.024          0.415
   73   27         -0.648          1.228
   73   28          0.276          0.242
   73   29          0.200         -0.368
   73   30          0.308          0.207
   73   31         -0.110         -1.319
   73   32          0.145         -0.900
   73   33         -0.287         -0.441
   73   34         -0.003          0.861
   73   35         -0.092          0.417
   73   36          0.241         -0.329
   73   37          0.184          0.456
   73   38         -0.261          0.047
   73   39         -0.142         -0.133
   73   40          0.267         -0.463
   73   41         -0.148          0.592
   73   42         -0.176         -0.209
   73   43          0.587         -0.014
   73   44         -0.634         -0.481
   73   45          0.573         -0.085
   73   46         -0.092         -0.158
   73   47         -0.009          0.064
   73   48         -0.566          0.666
   73   49         -0.331          0.079
   73   50         -0.844         -0.496
   73   51          0.225         -0.960
   73   52         -0.278          0.116
   73   53         -0.602         -0.270
   73   54         -0.142         -0.023
   73   55          0.276         -0.368
   73   56         -0.227         -0.931
   73   57          0.654          0.025
   73   58          0.070         -0.426
   73   59          0.760         -0.415
   73   60         -0.708          0.516
   73   61          0.236          0.326
   73   62          0.134          0.206
   73   63          0.007         -0.062
   73   64          0.096         -0.102
   73   65          0.027          0.148
   73   66          0.165          0.137
   73   67         -0.657          0.229
   73   68          0.255          0.200
   73   69         -0.148          0.131
   73   70         -0.528          0.649
   73   71          0.517         -0.661
   73   72          0.090          0.184
   73   73         -0.294          0.029
   74    0         -0.647          0.000
   74    1          0.426          0.559
   74    2          0.474         -0.254
   74    3          0.402         -0.990
   74    4         -0.033          0.003
   74    5          0.241          0.178
   74    6         -0.201         -0.214
   74    7          0.662         -1.274
   74    8          0.235         -0.168
   74    9         -0.514         -0.074
   74   10         -0.747          0.720
   74   11          0.788          0.420
   74   12          0.417         -0.083
   74   13         -0.535          1.116
   74   14         -0.370          0.245
   74   15         -0.042          0.254
   74   16         -0.507         -0.898
   74   17         -1.002          0.222
   74   18          0.014          0.127
   74   19         -0.015         -0.190
   74   20         -0.266         -0.545
   74   21          0.013          0.606
   74   22         -0.793          0.045
   74   23         -0.172          0.113
   74   24         -1.103          0.282
   74   25          0.013          0.347
   74   26         -0.986          0.466
   74   27          0.657          0.191
   74   28          0.138         -0.152
   74   29         -0.467          0.031
   74   30          0.006         -0.603
   74   31         -0.039         -0.146
   74   32          1.061          0.388
   74   33         -0.223          0.288
   74   34         -0.123          0.593
   74   35         -0.307          0.670
   74   36          0.213         -0.480
   74   37          0.395         -0.101
   74   38         -0.223          0.314
   74   39         -0.023         -0.065
   74   40          0.366         -0.080
   74   41          0.041         -0.753
   74   42         -0.400          0.294
   74   43          0.291          0.863
   74   44         -0.576          0.071
   74   45         -0.190          0.272
   74   46         -0.139         -0.684
   74   47          0.490          0.313
   74   48         -0.170         -0.004
   74   49          0.212         -0.740
   74   50          0.157          0.770
   74   51          0.182         -0.636
   74   52         -0.212          0.386
   74   53          0.346          0.014
   74   54          0.710         -0.008
   74   55          0.339          0.242
   74   56          0.114         -0.017
   74   57         -0.812          0.031
   74   58         -0.525          0.041
   74   59         -0.024         -0.540
   74   60         -0.907          0.344
   74   61         -0.074          0.259
   74   62         -0.157          0.290
   74   63         -0.605         -0.162
   74   64          0.129          0.710
   74   65          0.055          0.350
   74   66         -0.191          0.201
   74   67         -0.219          0.254
   74   68         -0.328         -0.481
   74   69         -0.314          0.325
   74   70          0.439         -0.011
   74   71         -0.120         -0.539
   74   72          0.027         -0.163
   74   73          0.035          0.236
   74   74         -0.483         -0.149
   75    0         -0.027          0.000
   75    1          0.989          0.641
   75    2         -0.488         -0.476
   75    3         -0.121         -0.113
   75    4          0.764         -0.321
   75    5         -0.143         -0.163
   75    6         -0.593         -1.285
   75    7          0.192         -1.123
   75    8         -0.292         -0.873
   75    9         -0.804          0.824
   75   10          0.005         -0.522
   75   11          1.025          1.466
   75   12         -0.086          0.603
   75   13         -0.577          0.742
   75   14         -0.201          0.433
   75   15          0.232          0.249
   75   16          0.911         -0.263
   75   17         -0.696         -0.126
   75   18          0.332         -0.438
   75   19          0.388          0.211
   75   20         -0.514          0.218
   75   21          0.009         -0.045
   75   22         -1.000          0.506
   75   23          1.166          0.393
   75   24         -0.876         -0.343
   75   25          0.111          0.912
   75   26         -0.223         -0.099
   75   27         -0.686          0.520
   75   28          0.073         -0.453
   75   29          0.368         -0.577
   75   30         -0.671          0.288
   75   31          0.094         -0.251
   75   32          0.185         -0.451
   75   33          0.164          0.082
   75   34         -0.403         -0.092
   75   35         -0.304          0.079
   75   36          0.424         -0.098
   75   37          0.224         -0.460
   75   38          0.171         -0.340
   75   39         -0.194         -0.309
   75   40         -0.147         -0.170
   75   41          0.255          0.257
   75   42         -0.156         -0.334
   75   43          0.152          0.160
   75   44          0.066          0.008
   75   45         -0.403          0.352
   75   46          0.260          0.700
   75   47          0.157          0.174
   75   48         -0.458          0.067
   75   49         -0.024         -0.282
   75   50         -0.681          0.276
   75   51          0.805          0.234
   75   52         -0.362         -0.229
   75   53         -0.194         -0.230
   75   54          0.327          0.094
   75   55         -0.740         -0.028
   75   56         -0.100         -0.145
   75   57          0.136         -0.481
   75   58          0.221          0.371
   75   59          0.227         -0.757
   75   60          0.124          0.801
   75   61         -0.402         -0.231
   75   62         -0.253          0.520
   75   63          0.566          0.111
   75   64          0.433         -0.027
   75   65         -0.401          0.050
   75   66          0.541         -0.572
   75   67         -0.665          0.440
   75   68         -0.744         -0.044
   75   69          0.144         -0.321
   75   70          0.251          0.035
   75   71         -0.285          0.117
   75   72         -0.345          0.228
   75   73         -0.342          0.179
   75   74          0.416          0.224
   75   75         -0.076         -0.460
   76    0         -0.136          0.000
   76    1          0.363          0.213
   76    2          0.674          0.796
   76    3         -0.769         -1.081
   76    4         -0.770          0.057
   76    5          0.065          0.552
   76    6         -0.932         -0.075
   76    7         -0.640         -0.658
   76    8         -0.093          0.228
   76    9         -0.242          0.041
   76   10          0.204          0.830
   76   11          0.130         -0.176
   76   12         -0.412          0.526
   76   13          0.446          0.607
   76   14         -0.469          0.116
   76   15          0.202          0.081
   76   16         -0.791         -0.409
   76   17         -0.826          0.772
   76   18          0.074          0.606
   76   19         -0.348          0.957
   76   20          0.459         -0.565
   76   21          0.057          0.123
   76   22         -0.728         -0.263
   76   23         -0.927         -0.169
   76   24         -0.385         -0.035
   76   25          0.265          0.901
   76   26         -0.544         -0.327
   76   27          0.998          0.040
   76   28         -0.151         -0.300
   76   29         -0.134          0.191
   76   30          0.414         -0.700
   76   31          0.416         -0.456
   76   32          0.611         -0.356
   76   33          0.113          0.048
   76   34         -0.308         -0.682
   76   35         -0.359          0.373
   76   36          0.177          0.150
   76   37         -0.087          0.596
   76   38          0.101          0.338
   76   39         -0.177         -0.548
   76   40          0.136         -0.210
   76   41          0.317         -0.127
   76   42          0.396         -0.544
   76   43         -0.548         -0.421
   76   44          0.329          0.327
   76   45          0.188         -0.184
   76   46          0.107          0.407
   76   47         -0.263         -0.089
   76   48          0.332         -0.260
   76   49         -0.421         -0.200
   76   50          0.554         -0.504
   76   51         -1.080         -0.159
   76   52          0.607          0.111
   76   53         -0.278         -1.179
   76   54          0.336         -0.474
   76   55          0.513          0.350
   76   56          0.693         -0.343
   76   57         -0.027         -0.151
   76   58          0.014          0.645
   76   59         -0.340          0.621
   76   60          0.001          0.525
   76   61         -0.760          0.198
   76   62          0.405          0.456
   76   63          0.622          0.481
   76   64         -0.056         -0.350
   76   65         -0.593          0.146
   76   66          0.176         -0.145
   76   67         -0.394         -0.514
   76   68          0.318         -0.205
   76   69         -0.950          0.361
   76   70         -0.394          0.076
   76   71         -0.726          0.435
   76   72          0.101         -0.476
   76   73          0.061         -0.017
   76   74         -0.267          0.368
   76   75         -0.050         -0.655
   76   76         -0.055         -0.173
   77    0         -0.574          0.000
   77    1          1.532          0.723
   77    2          0.855         -0.183
   77    3         -0.622         -0.769
   77    4         -0.058         -0.680
   77    5          0.109          0.595
   77    6         -0.524         -0.181
   77    7          0.429         -0.622
   77    8         -0.238         -0.649
   77    9         -0.139          0.465
   77   10         -0.143         -0.573
   77   11          0.554          0.867
   77   12          0.061          0.670
   77   13         -1.036          0.051
   77   14         -1.021          0.472
   77   15         -0.161         -0.644
   77   16          0.701         -0.747
   77   17         -0.468         -0.282
   77   18          0.682         -0.411
   77   19          0.147          0.607
   77   20          0.030         -0.430
   77   21         -0.589          0.033
   77   22         -0.778          0.106
   77   23          0.665          0.363
   77   24         -0.258          0.298
   77   25         -0.017          0.146
   77   26         -0.477          0.059
   77   27          0.698         -0.366
   77   28         -0.025         -0.706
   77   29         -0.125         -0.692
   77   30         -0.465         -0.013
   77   31         -0.346         -0.535
   77   32         -0.453          0.024
   77   33         -0.353         -0.144
   77   34         -0.964          0.409
   77   35         -0.194          0.462
   77   36         -0.445          0.263
   77   37         -0.062         -0.653
   77   38         -0.350          0.197
   77   39          1.174          0.558
   77   40          0.662          0.021
   77   41         -0.744         -0.738
   77   42         -0.093          1.029
   77   43          0.047         -0.470
   77   44         -0.023         -0.193
   77   45         -0.210         -0.081
   77   46         -0.026          0.078
   77   47         -0.187         -0.258
   77   48          0.013          0.006
   77   49         -0.642          0.396
   77   50         -0.099          0.017
   77   51          1.225         -0.033
   77   52          0.739          0.244
   77   53          0.071          0.312
   77   54          0.052         -0.170
   77   55         -0.201         -0.046
   77   56          0.013         -0.585
   77   57         -0.493         -0.759
   77   58         -0.488          0.189
   77   59          0.335         -0.051
   77   60         -0.623         -0.474
   77   61          0.387         -1.079
   77   62          0.026         -0.096
   77   63          0.390          0.044
   77   64          0.684          0.098
   77   65         -0.579         -0.581
   77   66          0.173         -0.621
   77   67         -0.127          0.098
   77   68         -0.214          0.106
   77   69         -0.363          0.414
   77   70         -0.319          0.236
   77   71         -0.317          0.329
   77   72          0.433          0.246
   77   73         -0.395         -0.428
   77   74         -0.486         -0.729
   77   75         -0.713         -0.445
   77   76          0.584          0.059
   77   77         -0.544          0.377
   78    0          0.255          0.000
   78    1          0.962          0.314
   78    2          0.787          1.078
   78    3         -2.700         -1.279
   78    4         -0.247         -0.123
   78    5          0.005          0.958
   78    6         -0.266          0.082
   78    7         -0.393         -1.012
   78    8         -0.254         -0.578
   78    9         -0.237          0.288
   78   10          0.272         -0.028
   78   11         -0.342          0.454
   78   12          0.373          1.431
   78   13          0.002          0.362
   78   14         -0.701         -0.313
   78   15          0.212         -0.451
   78   16         -0.101         -0.064
   78   17         -0.311         -0.019
   78   18          0.377          0.704
   78   19         -0.347         -0.220
   78   20          0.114          0.111
   78   21         -0.422          0.481
   78   22         -0.163         -0.370
   78   23          0.038         -0.210
   78   24         -0.190         -0.100
   78   25          0.295          0.198
   78   26         -0.415         -0.087
   78   27         -0.146          0.479
   78   28          0.749         -0.131
   78   29         -0.278          0.128
   78   30          0.153          0.127
   78   31          0.107         -0.204
   78   32         -0.328         -0.974
   78   33          0.023         -0.081
   78   34          0.308         -0.744
   78   35          0.122          0.214
   78   36         -0.453         -0.705
   78   37          0.194         -0.100
   78   38          0.556         -0.666
   78   39          0.705          0.150
   78   40         -0.332         -0.134
   78   41         -0.099         -0.118
   78   42         -0.427          0.033
   78   43         -0.097         -0.093
   78   44          0.500          0.119
   78   45         -0.170         -0.301
   78   46          0.163          0.545
   78   47         -0.131         -0.317
   78   48         -0.290         -0.510
   78   49          1.386          0.098
   78   50          0.379          0.256
   78   51          0.202          0.758
   78   52         -0.227         -0.159
   78   53         -0.776          0.752
   78   54          0.172         -0.109
   78   55         -0.334         -0.318
   78   56          0.385          0.032
   78   57          0.503          0.354
   78   58          0.137          0.797
   78   59          0.748         -0.314
   78   60          0.342          0.149
   78   61          0.348          0.722
   78   62          0.486         -0.274
   78   63          0.369         -0.502
   78   64          0.187          0.190
   78   65         -0.189          0.235
   78   66          0.235         -0.321
   78   67          0.101         -0.175
   78   68         -0.031          0.655
   78   69          0.171          0.519
   78   70          0.340         -0.089
   78   71          0.499         -0.321
   78   72          0.366          0.222
   78   73         -0.731          0.434
   78   74          0.200          0.267
   78   75         -0.052         -0.030
   78   76          0.282         -0.007
   78   77          0.193          0.477
   78   78         -0.370         -0.250
   79    0          0.239          0.000
   79    1          0.727          0.681
   79    2          0.828          1.039
   79    3         -0.799         -0.505
   79    4          0.516         -0.983
   79    5          0.232         -0.071
   79    6         -0.263          0.060
   79    7          0.533         -0.206
   79    8         -0.517         -0.767
   79    9         -0.829         -0.227
   79   10          0.273         -0.690
   79   11          0.160          1.291
   79   12          0.085          1.121
   79   13         -0.057         -0.075
   79   14         -0.838          0.078
   79   15          0.169         -1.121
   79   16          0.312         -0.882
   79   17         -0.138          0.166
   79   18          0.358          0.409
   79   19          0.359          1.191
   79   20         -0.213         -0.267
   79   21         -0.442          0.272
   79   22         -0.529          0.005
   79   23          0.000          0.562
   79   24          0.402         -0.824
   79   25          0.638         -0.339
   79   26         -0.031         -0.408
   79   27         -0.518          0.505
   79   28          0.594         -0.422
   79   29         -0.530         -0.845
   79   30         -1.129          0.643
   79   31         -0.054         -0.340
   79   32         -0.775          0.048
   79   33          0.259          0.030
   79   34          0.266         -1.513
   79   35          0.291          0.311
   79   36         -0.111          0.060
   79   37          0.183          0.395
   79   38          0.197         -0.152
   79   39         -0.206          0.072
   79   40         -0.474         -0.166
   79   41         -0.448         -0.098
   79   42         -0.236         -0.245
   79   43         -0.491          0.565
   79   44          0.145         -0.548
   79   45          0.436         -0.373
   79   46         -0.071         -0.573
   79   47          0.525         -0.363
   79   48         -0.137          0.720
   79   49          0.363          0.595
   79   50         -0.097         -0.125
   79   51          0.124          0.471
   79   52         -0.205         -0.819
   79   53         -0.518          0.415
   79   54         -0.339          0.544
   79   55          0.293         -0.339
   79   56          0.157         -0.194
   79   57         -0.030         -0.071
   79   58         -0.412          0.200
   79   59         -0.024         -0.449
   79   60         -0.453          0.012
   79   61         -0.846          0.058
   79   62          0.667         -0.850
   79   63          0.009         -0.356
   79   64          0.157          0.508
   79   65         -0.059          0.183
   79   66          0.374         -1.072
   79   67         -0.417          0.326
   79   68         -0.013         -0.371
   79   69         -0.360          0.050
   79   70          0.141          0.012
   79   71         -0.382          0.529
   79   72         -0.534          0.529
   79   73         -0.581          0.608
   79   74         -0.411          0.030
   79   75         -0.375          0.306
   79   76         -0.379         -0.304
   79   77         -0.338         -0.432
   79   78         -0.469         -0.134
   79   79          0.620          0.266
   80    0         -0.514          0.000
   80    1          0.491          0.594
   80    2          0.781          0.738
   80    3         -0.996         -0.939
   80    4         -0.802          0.008
   80    5          0.502         -0.210
   80    6         -0.457         -0.423
   80    7         -1.425         -0.586
   80    8         -0.316          0.344
   80    9         -0.742          0.244
   80   10          0.175         -0.011
   80   11         -0.495          0.967
   80   12          0.666          1.321
   80   13         -0.002          0.542
   80   14         -1.268         -0.566
   80   15          0.095          0.364
   80   16          0.021          0.436
   80   17          0.313         -0.411
   80   18         -0.412          0.070
   80   19          0.790          0.445
   80   20         -0.131          0.743
   80   21         -0.579          0.489
   80   22         -1.338         -0.508
   80   23         -0.593         -0.072
   80   24          0.258         -0.621
   80   25         -0.134         -0.328
   80   26         -0.164         -1.171
   80   27         -0.183          0.504
   80   28          0.343          1.058
   80   29         -0.268          0.007
   80   30         -0.176          0.071
   80   31          0.871         -0.150
   80   32          0.602          0.003
   80   33         -0.181         -0.101
   80   34          0.298         -0.183
   80   35         -0.235          0.131
   80   36         -0.168          0.178
   80   37         -0.376          0.223
   80   38         -0.491         -0.150
   80   39         -0.229          0.191
   80   40         -0.204         -0.121
   80   41         -0.801         -0.056
   80   42         -0.088         -0.065
   80   43          0.923          0.300
   80   44         -0.602         -0.478
   80   45         -0.162         -0.402
   80   46          0.221         -0.226
   80   47         -0.761         -0.595
   80   48         -0.135          0.324
   80   49         -0.295          0.111
   80   50         -0.922         -0.668
   80   51         -0.322         -0.419
   80   52          0.176         -0.110
   80   53          0.689          1.088
   80   54         -0.580          0.526
   80   55          0.395          0.249
   80   56          0.329          0.491
   80   57         -0.040          0.415
   80   58          0.112          0.104
   80   59         -0.194         -0.784
   80   60          1.193         -0.442
   80   61         -0.062          0.147
   80   62         -0.549         -0.890
   80   63         -0.089         -0.455
   80   64          0.927         -0.099
   80   65         -0.572         -0.682
   80   66         -0.186         -0.799
   80   67          0.135          0.534
   80   68         -0.736          0.447
   80   69         -0.538         -0.018
   80   70          0.271         -0.171
   80   71          0.074          0.749
   80   72         -0.216         -0.040
   80   73         -0.449          0.323
   80   74         -0.434         -0.164
   80   75         -0.002          0.283
   80   76          0.036          0.069
   80   77         -0.028         -0.357
   80   78          0.116         -0.387
   80   79          0.393         -0.234
   80   80         -1.042         -0.249
   81    0         -0.807          0.000
   81    1          0.692          0.584
   81    2          0.983          0.653
   81    3         -0.266         -0.810
   81    4         -1.168         -1.300
   81    5         -0.415         -0.839
   81    6          0.103         -1.165
   81    7         -0.026         -0.825
   81    8         -0.781         -0.526
   81    9         -1.444         -0.038
   81   10          0.275         -1.638
   81   11          0.063          1.628
   81   12         -0.163          0.751
   81   13         -0.202          0.818
   81   14         -0.920          0.053
   81   15          0.248         -0.981
   81   16          0.195         -0.868
   81   17          0.205         -1.551
   81   18         -0.861          0.897
   81   19          0.244          0.265
   81   20         -0.159          0.603
   81   21         -0.339         -0.045
   81   22         -0.021         -0.419
   81   23          0.845         -0.170
   81   24         -0.343         -0.533
   81   25          0.663          0.202
   81   26          0.026         -0.116
   81   27         -1.100         -0.381
   81   28          0.748          0.398
   81   29         -0.057          0.376
   81   30          0.221         -0.308
   81   31          0.844         -0.591
   81   32         -0.931         -0.248
   81   33          0.024          0.402
   81   34         -0.529         -0.291
   81   35          0.696          1.358
   81   36          0.915          0.264
   81   37         -0.364          0.696
   81   38          0.018          0.030
   81   39         -0.747         -0.443
   81   40          0.385          0.449
   81   41         -0.486         -0.077
   81   42          0.189          0.857
   81   43         -0.248          0.765
   81   44         -0.324         -0.791
   81   45          0.521          1.056
   81   46          0.100         -0.306
   81   47          0.176          0.744
   81   48          0.175          0.457
   81   49         -0.134          0.722
   81   50         -0.046         -0.178
   81   51         -0.122         -0.025
   81   52         -0.619          0.074
   81   53          0.232          0.111
   81   54          0.068         -0.369
   81   55          0.490         -0.282
   81   56         -0.204          0.250
   81   57         -0.274         -0.140
   81   58         -0.063          0.595
   81   59          0.648         -0.475
   81   60         -0.102         -0.214
   81   61          0.581         -0.041
   81   62         -0.573          0.372
   81   63          0.062         -0.072
   81   64         -0.494          0.523
   81   65         -0.280          0.629
   81   66         -0.081         -0.838
   81   67         -0.031          0.628
   81   68         -0.508          0.090
   81   69          0.032         -0.452
   81   70         -0.666          0.048
   81   71          0.150          0.549
   81   72         -0.002          0.435
   81   73         -0.618         -0.163
   81   74          0.069         -0.205
   81   75          0.239          0.508
   81   76         -0.111         -0.825
   81   77          0.858         -0.205
   81   78         -0.094          0.553
   81   79          0.479         -0.037
   81   80          0.434          0.744
   81   81         -0.709          0.279
   82    0          0.496          0.000
   82    1          0.418          0.776
   82    2         -0.371          1.310
   82    3         -0.826         -0.998
   82    4          0.017         -0.306
   82    5          1.024          0.910
   82    6         -0.131         -0.147
   82    7         -0.065          0.075
   82    8         -0.608          1.495
   82    9         -0.473          0.065
   82   10          0.000          0.215
   82   11         -1.945          0.574
   82   12          1.087          0.247
   82   13         -0.287         -0.450
   82   14          0.133         -0.657
   82   15          0.854         -0.576
   82   16          0.378         -0.273
   82   17         -0.243          0.001
   82   18         -0.544          0.256
   82   19         -0.336          1.254
   82   20          0.760          0.669
   82   21         -0.620          0.158
   82   22         -0.940         -0.140
   82   23         -0.690         -0.885
   82   24         -0.653         -0.480
